,date,analysed_days,is_holiday,line_id,route_id,segment,hour,h_travel_t,h_sch_t,h_traffic_t,h_boarding_t,s_t_in_motion,s_total_t,adj_sch_t,h_avg_speed,s_speed
45838,2025/4/21,7,FALSE,TM25,TM86,TM0758_TM0273,7,83,60,6,14,48,75,60,40,45
45839,2025/4/21,7,FALSE,TM25,TM86,TM0273_TM0645,7,70,60,7,13,45,60,60,30,33
45840,2025/4/21,7,FALSE,TM25,TM86,TM0645_TM0694,7,53,60,6,12,33,45,60,34,39
45841,2025/4/21,7,FALSE,TM25,TM86,TM0694_TM2110,7,51,60,5,13,28,45,60,35,39
45842,2025/4/21,7,FALSE,TM25,TM86,TM2110_TM0639,7,63,60,6,25,39,75,60,39,43
45843,2025/4/21,7,FALSE,TM25,TM86,TM0639_TM0589,7,106,120,7,16,59,75,60,33,40
45844,2025/4/21,7,FALSE,TM25,TM86,TM0589_TM0880,7,103,60,11,9,66,90,60,32,37
45845,2025/4/21,7,FALSE,TM25,TM86,TM0880_TM0891,7,99,120,17,19,59,90,120,32,40
45846,2025/4/21,7,FALSE,TM25,TM86,TM0891_TM0348,7,105,120,26,34,56,120,120,31,35
45847,2025/4/21,7,FALSE,TM25,TM86,TM0348_TM2103,7,117,120,7,14,57,75,60,30,37
45848,2025/4/21,7,FALSE,TM25,TM86,TM2103_TM2261,7,71,60,5,29,42,75,60,32,40
45849,2025/4/21,7,FALSE,TM25,TM86,TM2261_TM0851,7,189,120,56,0,92,120,120,22,26
45850,2025/4/21,7,FALSE,TM25,TM86,TM1721_TM1284,8,66,60,26,39,31,60,60,17,24
45851,2025/4/21,7,FALSE,TM25,TM86,TM1284_TM1280,8,97,60,24,14,29,60,60,14,18
45852,2025/4/21,7,FALSE,TM25,TM86,TM1280_TM1298,8,56,60,7,14,32,60,60,30,35
45853,2025/4/21,7,FALSE,TM25,TM86,TM1298_TM0758,8,89,120,8,25,61,90,120,25,29
45854,2025/4/21,7,FALSE,TM25,TM86,TM0758_TM0273,8,87,60,5,13,48,60,60,40,45
45855,2025/4/21,7,FALSE,TM25,TM86,TM0273_TM0645,8,73,60,12,15,45,75,60,29,33
45856,2025/4/21,7,FALSE,TM25,TM86,TM0645_TM0694,8,53,60,6,15,33,60,60,35,39
45857,2025/4/21,7,FALSE,TM25,TM86,TM0694_TM2110,8,52,60,5,14,28,45,60,36,39
45858,2025/4/21,7,FALSE,TM25,TM86,TM2110_TM0639,8,63,60,7,21,39,60,60,39,43
45859,2025/4/21,7,FALSE,TM25,TM86,TM0639_TM0589,8,109,120,16,13,59,90,60,35,40
45860,2025/4/21,7,FALSE,TM25,TM86,TM0589_TM0880,8,109,60,21,12,66,105,60,33,37
45861,2025/4/21,7,FALSE,TM25,TM86,TM0880_TM0891,8,97,120,16,16,59,90,120,33,40
45862,2025/4/21,7,FALSE,TM25,TM86,TM0891_TM0348,8,105,120,30,30,56,120,120,31,35
45863,2025/4/21,7,FALSE,TM25,TM86,TM0348_TM2103,8,119,120,8,13,57,75,60,30,37
45864,2025/4/21,7,FALSE,TM25,TM86,TM2103_TM2261,8,69,60,6,27,42,75,60,33,40
45865,2025/4/21,7,FALSE,TM25,TM86,TM2261_TM0851,8,197,180,59,0,92,180,180,22,26
45866,2025/4/21,7,FALSE,TM25,TM86,TM1721_TM1284,9,60,60,19,37,31,60,60,18,24
45867,2025/4/21,7,FALSE,TM25,TM86,TM1284_TM1280,9,94,60,21,14,29,60,60,14,18
45868,2025/4/21,7,FALSE,TM25,TM86,TM1280_TM1298,9,55,60,6,14,32,45,60,30,35
45869,2025/4/21,7,FALSE,TM25,TM86,TM1298_TM0758,9,88,120,7,26,61,90,120,25,29
45870,2025/4/21,7,FALSE,TM25,TM86,TM0758_TM0273,9,86,60,5,15,48,75,60,40,45
45871,2025/4/21,7,FALSE,TM25,TM86,TM0273_TM0645,9,76,60,13,15,45,75,60,30,33
